AREA NAME,Year,crime_category_v2,count
Olympic,2020,PROPERTY_CRIME,3678
Olympic,2020,SEXUAL_CRIME,250
Olympic,2020,VANDALISM,961
Olympic,2020,VEHICLE_CRIME,925
Olympic,2020,VIOLENT_CRIME,3155
Olympic,2021,OTHER,629
Olympic,2021,PROPERTY_CRIME,4032
Olympic,2021,SEXUAL_CRIME,294
Olympic,2021,VANDALISM,981
Olympic,2021,VEHICLE_CRIME,1330
Olympic,2021,VIOLENT_CRIME,3476
Olympic,2022,OTHER,675
Olympic,2022,PROPERTY_CRIME,4915
Olympic,2022,SEXUAL_CRIME,288
Olympic,2022,VANDALISM,1001
Olympic,2022,VEHICLE_CRIME,1395
Olympic,2022,VIOLENT_CRIME,3778
Olympic,2023,OTHER,846
Olympic,2023,PROPERTY_CRIME,4681
Olympic,2023,SEXUAL_CRIME,255
Olympic,2023,VANDALISM,1002
Olympic,2023,VEHICLE_CRIME,1294
Olympic,2023,VIOLENT_CRIME,3655
Olympic,2024,OTHER,276
Olympic,2024,PROPERTY_CRIME,1857
Olympic,2024,SEXUAL_CRIME,81
Olympic,2024,VANDALISM,371
Olympic,2024,VEHICLE_CRIME,599
Olympic,2024,VIOLENT_CRIME,855
Pacific,2020,OTHER,810
Pacific,2020,PROPERTY_CRIME,5851
Pacific,2020,SEXUAL_CRIME,257
Pacific,2020,VANDALISM,975
Pacific,2020,VEHICLE_CRIME,1178
Pacific,2020,VIOLENT_CRIME,2437
Pacific,2021,OTHER,800
Pacific,2021,PROPERTY_CRIME,6506
Pacific,2021,SEXUAL_CRIME,269
Pacific,2021,VANDALISM,1162
Pacific,2021,VEHICLE_CRIME,1516
Pacific,2021,VIOLENT_CRIME,2568
Pacific,2022,OTHER,789
Pacific,2022,PROPERTY_CRIME,7031
Pacific,2022,SEXUAL_CRIME,280
Pacific,2022,VANDALISM,955
Pacific,2022,VEHICLE_CRIME,1542
Pacific,2022,VIOLENT_CRIME,2443
Pacific,2023,OTHER,707
Pacific,2023,PROPERTY_CRIME,7781
Pacific,2023,SEXUAL_CRIME,277
Pacific,2023,VANDALISM,970
Pacific,2023,VEHICLE_CRIME,1558
Pacific,2023,VIOLENT_CRIME,2462
Pacific,2024,OTHER,233
Pacific,2024,PROPERTY_CRIME,3186
Pacific,2024,SEXUAL_CRIME,72
Pacific,2024,VANDALISM,453
Pacific,2024,VEHICLE_CRIME,794
Pacific,2024,VIOLENT_CRIME,620
Rampart,2020,OTHER,504
Rampart,2020,PROPERTY_CRIME,2945
Rampart,2020,SEXUAL_CRIME,231
Rampart,2020,VANDALISM,1003
Rampart,2020,VEHICLE_CRIME,987
Rampart,2020,VIOLENT_CRIME,3312
Rampart,2021,OTHER,495
Rampart,2021,PROPERTY_CRIME,3130
Rampart,2021,SEXUAL_CRIME,242
Rampart,2021,VANDALISM,962
Rampart,2021,VEHICLE_CRIME,1152
Rampart,2021,VIOLENT_CRIME,3421
Rampart,2022,OTHER,644
Rampart,2022,PROPERTY_CRIME,4312
Rampart,2022,SEXUAL_CRIME,284
Rampart,2022,VANDALISM,882
Rampart,2022,VEHICLE_CRIME,1245
Rampart,2022,VIOLENT_CRIME,3833
Rampart,2023,OTHER,966
Rampart,2023,PROPERTY_CRIME,4289
Rampart,2023,SEXUAL_CRIME,239
Rampart,2023,VANDALISM,782
Rampart,2023,VEHICLE_CRIME,1297
Rampart,2023,VIOLENT_CRIME,3950
Rampart,2024,OTHER,393
Rampart,2024,PROPERTY_CRIME,1651
Rampart,2024,SEXUAL_CRIME,47
Rampart,2024,VANDALISM,282
Rampart,2024,VEHICLE_CRIME,623
Rampart,2024,VIOLENT_CRIME,740
Southeast,2020,OTHER,678
Southeast,2020,PROPERTY_CRIME,2574
Southeast,2020,SEXUAL_CRIME,277
Southeast,2020,VANDALISM,1126
Southeast,2020,VEHICLE_CRIME,1351
Southeast,2020,VIOLENT_CRIME,4787
Southeast,2021,OTHER,641
Southeast,2021,PROPERTY_CRIME,2266
Southeast,2021,SEXUAL_CRIME,227
Southeast,2021,VANDALISM,1068
Southeast,2021,VEHICLE_CRIME,1707
Southeast,2021,VIOLENT_CRIME,4414
Southeast,2022,OTHER,683
Southeast,2022,PROPERTY_CRIME,3702
Southeast,2022,SEXUAL_CRIME,252
Southeast,2022,VANDALISM,850
Southeast,2022,VEHICLE_CRIME,1555
Southeast,2022,VIOLENT_CRIME,4703
Southeast,2023,OTHER,697
Southeast,2023,PROPERTY_CRIME,3059
Southeast,2023,SEXUAL_CRIME,229
Southeast,2023,VANDALISM,855
Southeast,2023,VEHICLE_CRIME,1625
Southeast,2023,VIOLENT_CRIME,4816
Southeast,2024,OTHER,271
Southeast,2024,PROPERTY_CRIME,1118
Southeast,2024,SEXUAL_CRIME,87
Southeast,2024,VANDALISM,336
Southeast,2024,VEHICLE_CRIME,829
Southeast,2024,VIOLENT_CRIME,1604
Southwest,2020,OTHER,787
Southwest,2020,PROPERTY_CRIME,3632
Southwest,2020,SEXUAL_CRIME,326
Southwest,2020,VANDALISM,1131
Southwest,2020,VEHICLE_CRIME,1130
Southwest,2020,VIOLENT_CRIME,4135
Southwest,2021,OTHER,765
Southwest,2021,PROPERTY_CRIME,3744
Southwest,2021,SEXUAL_CRIME,350
Southwest,2021,VANDALISM,1118
Southwest,2021,VEHICLE_CRIME,1321
Southwest,2021,VIOLENT_CRIME,4085
Southwest,2022,OTHER,805
Southwest,2022,PROPERTY_CRIME,5673
Southwest,2022,SEXUAL_CRIME,333
Southwest,2022,VANDALISM,992
Southwest,2022,VEHICLE_CRIME,1479
Southwest,2022,VIOLENT_CRIME,4126
Southwest,2023,OTHER,828
Southwest,2023,PROPERTY_CRIME,5095
Southwest,2023,SEXUAL_CRIME,276
Southwest,2023,VANDALISM,1041
Southwest,2023,VEHICLE_CRIME,1739
Southwest,2023,VIOLENT_CRIME,4120
Southwest,2024,OTHER,502
Southwest,2024,PROPERTY_CRIME,2213
Southwest,2024,SEXUAL_CRIME,112
Southwest,2024,VANDALISM,445
Southwest,2024,VEHICLE_CRIME,949
Southwest,2024,VIOLENT_CRIME,1539
Topanga,2020,OTHER,662
Topanga,2020,PROPERTY_CRIME,3837
Topanga,2020,SEXUAL_CRIME,239
Topanga,2020,VANDALISM,642
Topanga,2020,VEHICLE_CRIME,701
Topanga,2020,VIOLENT_CRIME,2009
Topanga,2021,OTHER,640
Topanga,2021,PROPERTY_CRIME,4206
Topanga,2021,SEXUAL_CRIME,276
Topanga,2021,VANDALISM,647
Topanga,2021,VEHICLE_CRIME,787
Topanga,2021,VIOLENT_CRIME,2026
Topanga,2022,OTHER,760
Topanga,2022,PROPERTY_CRIME,4728
Topanga,2022,SEXUAL_CRIME,232
Topanga,2022,VANDALISM,634
Topanga,2022,VEHICLE_CRIME,721
Topanga,2022,VIOLENT_CRIME,2383
Topanga,2023,OTHER,641
Topanga,2023,PROPERTY_CRIME,5057
Topanga,2023,SEXUAL_CRIME,242
Topanga,2023,VANDALISM,618
